feature,importance,selected_by_elbow,selected_by_absolute_threshold,selected_by_domain_knowledge,is_selected,importance_rank
mol_nBonds,0.059415385,True,False,False,True,114.0
mol_ATSC3s,0.0591363,True,False,False,True,115.0
mol_MDEC-34,0.058512237,True,False,False,True,116.0
mol_MATS1are,0.05830233,True,False,False,True,117.0
mol_MINaasC,0.05814153,True,False,False,True,118.0
mol_GATS8c,0.057751585,True,False,False,True,119.0
mol_Mp,0.057155427,True,False,False,True,120.0
mol_BIC4,0.05667423,True,False,False,True,121.0
mol_IC1,0.05520969,True,False,False,True,122.0
mol_AETA_eta_F,0.055032965,True,False,False,True,123.0
mol_ATS8dv,0.054430492,True,False,False,True,124.0
mol_FilterItLogS,0.052363668,True,False,False,True,125.0
mol_ETA_dAlpha_B,0.052203383,True,False,False,True,126.0
mol_Xpc-5dv,0.050959222,True,False,False,True,127.0
mol_C2SP3,0.05018803,True,False,False,True,128.0
mol_AATSC6se,0.050069258,True,False,False,True,129.0
mol_ATSC8Z,0.049476977,True,False,False,True,130.0
mol_ETA_beta_ns,0.04911088,True,False,False,True,131.0
mol_ATSC7c,0.04809652,True,False,False,True,132.0
mol_AATS7d,0.047201797,True,False,False,True,133.0
mol_MATS4p,0.04644022,True,False,False,True,134.0
mol_GATS1d,0.046297647,True,False,False,True,135.0
mol_AATSC1i,0.04614611,True,False,False,True,136.0
mol_piPC10,0.045995943,True,False,False,True,137.0
mol_RotRatio,0.045152258,True,False,False,True,138.0
mol_ATS7d,0.04466497,True,False,False,True,139.0
mol_AXp-5d,0.04457106,True,False,False,True,140.0
mol_ATS0Z,0.044173185,True,False,False,True,141.0
mol_ETA_eta_F,0.043271665,True,False,False,True,142.0
mol_GATS5se,0.042725343,True,False,False,True,143.0
mol_GATS2pe,0.041886605,True,False,False,True,144.0
mol_IC0,0.041728217,True,False,False,True,145.0
mol_GATS1dv,0.041615363,True,False,False,True,146.0
mol_AATSC5Z,0.041591182,True,False,False,True,147.0
mol_BCUTv-1h,0.040914774,True,False,False,True,148.0
mol_SlogP_VSA6,0.040331196,True,False,False,True,149.0
mol_MATS1i,0.040265456,True,False,False,True,150.0
mol_GATS4c,0.039284773,True,False,False,True,151.0
mol_CIC3,0.039179083,True,False,False,True,152.0
mol_AATSC4i,0.03883277,True,False,False,True,153.0
mol_ATSC5d,0.03881438,True,False,False,True,154.0
mol_GATS7se,0.038183525,True,False,False,True,155.0
mol_ATSC6se,0.0370852,True,False,False,True,156.0
mol_ATSC3se,0.035663184,True,False,False,True,157.0
mol_ATSC1p,0.035398863,True,False,False,True,158.0
mol_AATSC7dv,0.034051023,True,False,False,True,159.0
mol_GATS7p,0.033845812,True,False,False,True,160.0
mol_GATS7s,0.033453684,True,False,False,True,161.0
mol_GATS2v,0.032730285,True,False,False,True,162.0
mol_AATSC2Z,0.032572545,True,False,False,True,163.0
mol_ETA_epsilon_2,0.032166056,True,False,False,True,164.0
mol_GATS8p,0.03167425,True,False,False,True,165.0
mol_ATS4d,0.031668857,True,False,False,True,166.0
mol_ATSC7d,0.03147452,True,False,False,True,167.0
mol_ATSC1are,0.03082351,True,False,False,True,168.0
mol_AATSC5i,0.03029728,True,False,False,True,169.0
mol_ATSC2s,0.029563941,True,False,False,True,170.0
mol_GATS1v,0.029314248,True,False,False,True,171.0
mol_ATS6p,0.029194828,True,False,False,True,172.0
mol_GATS6Z,0.028959356,True,False,False,True,173.0
mol_ATSC8v,0.028804261,True,False,False,True,174.0
mol_ATS5i,0.028789101,True,False,False,True,175.0
mol_GATS1p,0.02862982,True,False,False,True,176.0
mol_AATSC7s,0.028537387,True,False,False,True,177.0
mol_MATS3se,0.02779597,True,False,False,True,178.0
mol_GGI7,0.02779576,True,False,False,True,179.0
mol_SMR_VSA7,0.02762785,True,False,False,True,180.0
mol_VE2_DzZ,0.027106486,True,False,False,True,181.0
mol_AATS5i,0.02698933,True,False,False,True,182.0
mol_AATS2pe,0.02680639,True,False,False,True,183.0
mol_ATSC6dv,0.026641184,True,False,False,True,184.0
mol_AATSC0pe,0.026132328,True,False,False,True,185.0
mol_PEOE_VSA6,0.02552066,True,False,False,True,186.0
mol_ATSC4d,0.025143664,True,False,False,True,187.0
mol_AETA_eta_B,0.024675636,True,False,False,True,188.0
mol_AATS8v,0.024550728,True,False,False,True,189.0
mol_AATSC0v,0.024421172,True,False,False,True,190.0
mol_ATS3v,0.024284834,True,False,False,True,191.0
mol_JGI2,0.024198709,True,False,False,True,192.0
Chiral_Type,0.02405107,True,False,True,True,193.0
mol_JGI5,0.023844572,True,False,False,True,194.0
mol_SsssN,0.023619223,True,False,False,True,195.0
S_Count,0.023586148,True,False,False,True,196.0
mol_AATS5p,0.02317724,True,False,False,True,197.0
mol_AATS8se,0.02303784,True,False,False,True,198.0
mol_MATS4d,0.022835162,True,False,False,True,199.0
mol_Vabc,0.02264718,True,False,False,True,200.0
mol_GATS6d,0.022604989,True,False,False,True,201.0
mol_MATS7c,0.022373488,True,False,False,True,202.0
mol_GATS4se,0.02230861,True,False,False,True,203.0
mol_MATS7Z,0.022130061,True,False,False,True,204.0
mol_ATSC8s,0.021960856,True,False,False,True,205.0
mol_MAXsOH,0.021875469,True,False,False,True,206.0
mol_MATS6s,0.021788122,True,False,False,True,207.0
mol_SIC5,0.021694256,True,False,False,True,208.0
mol_ECIndex,0.021523368,True,False,False,True,209.0
Total_Chiral,0.0,False,False,True,True,1518.0
