feature,importance,selected_by_elbow,selected_by_absolute_threshold,selected_by_domain_knowledge,is_selected,importance_rank
mol_C2SP3,0.052289885,True,False,False,True,114.0
mol_MATS5are,0.051982246,True,False,False,True,115.0
mol_MINaasC,0.051845394,True,False,False,True,116.0
mol_ATSC7c,0.050837196,True,False,False,True,117.0
mol_SlogP_VSA6,0.049176935,True,False,False,True,118.0
mol_GATS2pe,0.04820008,True,False,False,True,119.0
mol_ATSC3s,0.048081584,True,False,False,True,120.0
mol_ATSC3se,0.047786593,True,False,False,True,121.0
mol_MATS4pe,0.047778077,True,False,False,True,122.0
mol_GATS1dv,0.046724416,True,False,False,True,123.0
mol_MATS7s,0.04598581,True,False,False,True,124.0
mol_AXp-5d,0.045523822,True,False,False,True,125.0
mol_ATS7d,0.045213364,True,False,False,True,126.0
mol_n10FHRing,0.04403966,True,False,False,True,127.0
mol_GATS5se,0.04294776,True,False,False,True,128.0
mol_CIC4,0.042055946,True,False,False,True,129.0
mol_BCUTv-1h,0.0412896,True,False,False,True,130.0
mol_GATS4c,0.040763214,True,False,False,True,131.0
mol_ATSC1are,0.03995622,True,False,False,True,132.0
mol_AATSC6se,0.039693274,True,False,False,True,133.0
mol_AATSC2Z,0.039403293,True,False,False,True,134.0
mol_AATSC0p,0.039330143,True,False,False,True,135.0
mol_ATSC5d,0.039322577,True,False,False,True,136.0
mol_ETA_dAlpha_B,0.03867819,True,False,False,True,137.0
mol_AATSC5Z,0.038280927,True,False,False,True,138.0
mol_BIC4,0.037131768,True,False,False,True,139.0
mol_RotRatio,0.036924616,True,False,False,True,140.0
mol_AATSC4i,0.036847256,True,False,False,True,141.0
mol_MDEC-23,0.036309864,True,False,False,True,142.0
mol_ATSC8Z,0.036023416,True,False,False,True,143.0
mol_ATSC6dv,0.035947923,True,False,False,True,144.0
mol_SIC4,0.034977444,True,False,False,True,145.0
mol_AATSC7dv,0.034781925,True,False,False,True,146.0
mol_AATSC7s,0.034563713,True,False,False,True,147.0
mol_ATSC0Z,0.034285266,True,False,False,True,148.0
mol_GATS1d,0.03378242,True,False,False,True,149.0
mol_VE2_DzZ,0.033018693,True,False,False,True,150.0
mol_ATS0Z,0.032617696,True,False,False,True,151.0
mol_ATS4d,0.03102105,True,False,False,True,152.0
mol_GATS8p,0.03099471,True,False,False,True,153.0
mol_GATS6Z,0.030335031,True,False,False,True,154.0
mol_SMR_VSA7,0.030047713,True,False,False,True,155.0
mol_SsssN,0.029916909,True,False,False,True,156.0
mol_AATSC0v,0.029823959,True,False,False,True,157.0
mol_ATSC8v,0.029676547,True,False,False,True,158.0
mol_GATS1p,0.029665865,True,False,False,True,159.0
mol_ATSC8s,0.029327342,True,False,False,True,160.0
mol_GATS2v,0.029218592,True,False,False,True,161.0
mol_ZMIC1,0.028482646,True,False,False,True,162.0
mol_GGI7,0.028333465,True,False,False,True,163.0
mol_GATS6d,0.027785858,True,False,False,True,164.0
mol_MATS1i,0.027505012,True,False,False,True,165.0
mol_AATSC0pe,0.02750253,True,False,False,True,166.0
mol_GATS7se,0.027360268,True,False,False,True,167.0
mol_MATS4p,0.027183957,True,False,False,True,168.0
mol_ATSC6se,0.02716447,True,False,False,True,169.0
mol_JGI2,0.027136218,True,False,False,True,170.0
mol_AATSC1i,0.026816519,True,False,False,True,171.0
mol_mZagreb2,0.026623916,True,False,False,True,172.0
mol_GATS1v,0.02638649,True,False,False,True,173.0
mol_ATSC4d,0.026166191,True,False,False,True,174.0
mol_IC1,0.025743147,True,False,False,True,175.0
mol_AATS2pe,0.025360774,True,False,False,True,176.0
Chiral_Type,0.025030283,True,False,True,True,177.0
S_Count,0.024818448,True,False,False,True,178.0
mol_AETA_eta_BR,0.024159836,True,False,False,True,179.0
mol_AATSC5i,0.02370873,True,False,False,True,180.0
mol_AATS5i,0.023520492,True,False,False,True,181.0
mol_MATS6s,0.023344923,True,False,False,True,182.0
mol_ATSC1p,0.02329435,True,False,False,True,183.0
mol_AETA_beta_ns,0.023127493,True,False,False,True,184.0
mol_Vabc,0.022802515,True,False,False,True,185.0
mol_PEOE_VSA6,0.02263843,True,False,False,True,186.0
mol_ATS5i,0.022009652,True,False,False,True,187.0
mol_GATS7p,0.021941204,True,False,False,True,188.0
mol_ATSC1Z,0.021147767,True,False,False,True,189.0
mol_CIC3,0.020945909,True,False,False,True,190.0
mol_ATSC1dv,0.020563178,True,False,False,True,191.0
Total_Chiral,0.0,False,False,True,True,1518.0
