feature,importance,selected_by_elbow,selected_by_absolute_threshold,selected_by_domain_knowledge,is_selected,importance_rank
mol_MATS1are,0.05925215,True,False,False,True,114.0
mol_GATS2v,0.058363825,True,False,False,True,115.0
mol_ATS0Z,0.057622664,True,False,False,True,116.0
mol_MINaasC,0.056929044,True,False,False,True,117.0
mol_AATSC6dv,0.05386984,True,False,False,True,118.0
mol_ATSC1p,0.053798396,True,False,False,True,119.0
mol_C2SP3,0.050596785,True,False,False,True,120.0
mol_MATS4pe,0.04988352,True,False,False,True,121.0
mol_AXp-5d,0.049544696,True,False,False,True,122.0
mol_nBonds,0.04943905,True,False,False,True,123.0
mol_AATSC4i,0.04755641,True,False,False,True,124.0
mol_SIC4,0.047295105,True,False,False,True,125.0
mol_ATS8dv,0.046656255,True,False,False,True,126.0
mol_ATS7d,0.046621453,True,False,False,True,127.0
mol_AETA_eta_F,0.045483563,True,False,False,True,128.0
mol_AATSC5Z,0.045104146,True,False,False,True,129.0
mol_MATS3se,0.04494332,True,False,False,True,130.0
mol_GATS5se,0.04471943,True,False,False,True,131.0
mol_IC1,0.043880433,True,False,False,True,132.0
mol_MATS2p,0.043575548,True,False,False,True,133.0
mol_GATS7p,0.043096837,True,False,False,True,134.0
mol_ATS6p,0.0430522,True,False,False,True,135.0
mol_AATSC5i,0.04267742,True,False,False,True,136.0
mol_FilterItLogS,0.042656615,True,False,False,True,137.0
mol_ATSC7c,0.04235676,True,False,False,True,138.0
mol_ATSC8v,0.041886862,True,False,False,True,139.0
mol_ETA_beta_ns,0.041470043,True,False,False,True,140.0
mol_GATS7se,0.041237287,True,False,False,True,141.0
mol_BCUTv-1h,0.039974395,True,False,False,True,142.0
mol_GATS2pe,0.03923471,True,False,False,True,143.0
mol_AATS7d,0.038710546,True,False,False,True,144.0
mol_AATS3Z,0.03834923,True,False,False,True,145.0
mol_AATSC1i,0.038114004,True,False,False,True,146.0
mol_RotRatio,0.038016368,True,False,False,True,147.0
mol_MATS7c,0.03711467,True,False,False,True,148.0
mol_ETA_epsilon_2,0.036808472,True,False,False,True,149.0
mol_piPC10,0.03678523,True,False,False,True,150.0
mol_IC0,0.03576251,True,False,False,True,151.0
mol_SlogP_VSA6,0.035739154,True,False,False,True,152.0
mol_AATS2pe,0.035589986,True,False,False,True,153.0
mol_GATS4c,0.035569817,True,False,False,True,154.0
mol_ATSC6p,0.035518706,True,False,False,True,155.0
mol_AATS5i,0.03529588,True,False,False,True,156.0
mol_GATS1d,0.03487622,True,False,False,True,157.0
mol_CIC3,0.034521095,True,False,False,True,158.0
mol_n10FHRing,0.033576373,True,False,False,True,159.0
mol_ATS4d,0.033504367,True,False,False,True,160.0
mol_BIC4,0.03338543,True,False,False,True,161.0
mol_ETA_dAlpha_B,0.03334615,True,False,False,True,162.0
mol_ATSC3s,0.032742202,True,False,False,True,163.0
mol_ECIndex,0.03255327,True,False,False,True,164.0
mol_MAXsOH,0.032536056,True,False,False,True,165.0
mol_CIC4,0.03222662,True,False,False,True,166.0
mol_GATS1dv,0.031472307,True,False,False,True,167.0
mol_Xpc-5dv,0.031408474,True,False,False,True,168.0
mol_ATS5i,0.030590503,True,False,False,True,169.0
mol_AATSC2Z,0.030401327,True,False,False,True,170.0
mol_AATS8v,0.03013519,True,False,False,True,171.0
mol_ATSC1are,0.029640295,True,False,False,True,172.0
mol_ATSC3se,0.02935409,True,False,False,True,173.0
mol_JGI5,0.02913951,True,False,False,True,174.0
mol_piPC2,0.029105226,True,False,False,True,175.0
mol_ATSC6se,0.029057685,True,False,False,True,176.0
mol_MATS1i,0.029001711,True,False,False,True,177.0
mol_AATSC7dv,0.028941654,True,False,False,True,178.0
mol_GATS6Z,0.028717274,True,False,False,True,179.0
mol_AATSC6se,0.028672872,True,False,False,True,180.0
mol_MATS7Z,0.028477706,True,False,False,True,181.0
mol_MATS7p,0.027972374,True,False,False,True,182.0
mol_GATS4se,0.027664062,True,False,False,True,183.0
mol_GATS1p,0.027548546,True,False,False,True,184.0
mol_ATSC7d,0.027460357,True,False,False,True,185.0
mol_AATSC7s,0.02714054,True,False,False,True,186.0
mol_SsssN,0.027113013,True,False,False,True,187.0
mol_JGI2,0.026520371,True,False,False,True,188.0
mol_SIC5,0.026520135,True,False,False,True,189.0
mol_AATSC5c,0.026474573,True,False,False,True,190.0
mol_ATSC7se,0.02646767,True,False,False,True,191.0
mol_Vabc,0.026268076,True,False,False,True,192.0
mol_AATS5p,0.02625206,True,False,False,True,193.0
mol_GGI7,0.026022337,True,False,False,True,194.0
mol_MATS6s,0.025953218,True,False,False,True,195.0
mol_MATS4p,0.025321845,True,False,False,True,196.0
Chiral_Type,0.025113244,True,False,True,True,197.0
mol_bpol,0.025055725,True,False,False,True,198.0
mol_ATSC6dv,0.024786636,True,False,False,True,199.0
mol_MATS7m,0.02423345,True,False,False,True,200.0
mol_Xpc-5d,0.023971923,True,False,False,True,201.0
mol_GATS5p,0.023855327,True,False,False,True,202.0
mol_C3SP2,0.023630477,True,False,False,True,203.0
mol_VE2_DzZ,0.022909826,True,False,False,True,204.0
mol_EState_VSA4,0.022467753,True,False,False,True,205.0
mol_GATS1v,0.022452636,True,False,False,True,206.0
mol_ATSC0se,0.022434827,True,False,False,True,207.0
mol_PEOE_VSA6,0.022132281,True,False,False,True,208.0
mol_ATSC2dv,0.02196844,True,False,False,True,209.0
mol_MWC03,0.021908311,True,False,False,True,210.0
mol_ATSC7Z,0.021849226,True,False,False,True,211.0
mol_AATS8se,0.021680947,True,False,False,True,212.0
Total_Chiral,0.0,False,False,True,True,1518.0
