Model,Validation RMSE,Validation MAE,Validation R2,Test RMSE,Test MAE,Test R2
Linear_Regression,19.93660545349121,13.677820205688477,0.6946450807336761,34.14381408691406,19.75313377380371,-0.5454495953449601
Support_Vector_Regression,28.70290145082606,21.58787960665341,0.36707228663858615,18.655497501347032,14.143026009173147,0.5386352171519005
Gradient_Boosting_Regressor,16.916916386353535,12.810622947290069,0.7801406610380247,19.041957727570065,12.791581748432733,0.5193223119801195
Neural_Network_Regressor,17.82986068725586,13.879766464233398,0.755770340824609,16.61933708190918,12.400221824645996,0.6338507370209582
Transformer,36.7667350769043,28.453372955322266,-0.038514636542786196,27.465993881225586,21.996013641357422,-4.922118416383903e-05
RandomForest,18.2729787085853,14.399669705641667,0.7434800133110211,18.830175233545578,13.605052625888906,0.5299549393505089
