Model,Validation RMSE,Validation MAE,Validation R2,Test RMSE,Test MAE,Test R2
Linear_Regression,19.737945556640625,11.203644752502441,0.39863576258725353,37.70466613769531,20.40236473083496,-0.4801467236004753
Support_Vector_Regression,22.100480842894363,17.035893568606586,0.24605934963786347,24.808916054816002,19.883894959921637,0.3591887838028983
Gradient_Boosting_Regressor,21.73554143893813,15.99502378844659,0.27075301802706553,17.91777030631894,13.17078633452866,0.6657415035514793
Neural_Network_Regressor,22.154098510742188,14.075167655944824,0.2423967771986688,19.13198471069336,11.315889358520508,0.6189038583235862
Transformer,25.67300033569336,20.642093658447266,-0.017388824376776135,31.402057647705078,26.746335983276367,-0.026669645629299854
RandomForest,20.920064773526597,16.68644540748551,0.324446475599221,17.89335795248688,12.29427857569569,0.6666517147731622
