Model,Validation RMSE,Validation MAE,Validation R2,Test RMSE,Test MAE,Test R2
Linear_Regression,488.6720886230469,72.93081665039062,-153.9766484223454,347.8929443359375,45.97150802612305,-53.2799857885912
Support_Vector_Regression,33.92098886542213,25.964186395363804,0.25326200873039384,39.741774589317785,29.629003020294416,0.29165789314924173
Gradient_Boosting_Regressor,15.485008167621011,12.882290991897241,0.844384047239561,17.574710238083107,13.733997708731595,0.8614760413493272
Neural_Network_Regressor,14.290122985839844,9.664981842041016,0.8674733821141845,14.788186073303223,10.01518440246582,0.9019204745946336
Transformer,19.32423210144043,14.484524726867676,0.7576540805093007,22.379009246826172,16.786428451538086,0.7753893639898672
RandomForest,14.9280007355209,12.010287997342646,0.8553779430689228,15.566362107280495,12.152894976770918,0.8913267125314851
